품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,diags_small_id
Mixed(혼합),F,2126,D_VIP,s 오늘 목욕이후 많이 떨고 힘이 없고 숨쉬기 힘들어 함 제대로 걷거나 서있지 못하고 비틀거리며 물도 많이 먹고 오줌도 많이 쌈 배에 힘도 주고 있음 구토는 없었고 연변 회 점심까지는 먹었는데 저녁은 먹지 않음 공릉역에 있는 스마일 플러스 동물병원다님 오늘도 가서 정기검사인 수술재진과 혈액검사 초음파 검사했는데 특이사항 없었다함 그병원에서 일주일전에 생식기 종괴 수술함 심장약은 최초 본원에서 처방된대로 스마일플러스동물병워네서 먹이고 있음 mental alert mmc pink plr p 호흡은 쌕쌕거림 복압상승 척추촉진 특이사항 없음 방사선 혈액검사 원내보행시 제대로 걷지 못하고 서있을때도 좌우로 휘청 tx mpss mannitolg kg cime time kg cepha time kg iv ddx 뇌질환 경추 ivdd ce 뇌질환 경추신경계 이상으로 인한 신경증상으로 보이며 확진은 mri검사로 합니다. 자세한 사항은 주치의 선생님과 상담합니다. 최소한 내일까지는 처치및 경과봅니다. 우선 신경계쪽 일반적인 처치합니다. 청구비용은 완납 비용부담있으십니다. ,없음,40, 경련 발작 (원인 미정) , 신경 질환 ,신경증상(이상행동),신경증상(이상행동),541,4
Pomeranian(포메라이안),FS              ,2185,D_VIP, money 결제하심 정원 식욕 활력 양호 배변 배뇨 양호 d none 기침 콧물 none 금식 완료 alert p no murmur no crackle 마취 도입 회복 양호 약간 엄살 심한 아이라 조금 잡으면 소리 지름 보호자님 면회시에도 매우 크게 소리 지름 엄살일 수 있다고 안내드려놓은 상태 by 황 익일 time 퇴원 진행 예정 ,,4, 슬개골 (아) 탈구 ,근육 골격 질환 ,통증,통증,189,7
Russian Blue Cat(러시안 블루 고양이),FS,2095,B_W,밥은 먹고 있으나 힘이 없음 소변을 소량씩 보더니 출혈이 있었음 두리틀에서 알팍산 마취 후 검사를 진행하였으며 방광염 진단을 받고 약을 처방받아 먹이심. 이후 목금토는 시원하게 소변보고 컨디션이 양호했음 어제부터는 소변을 안보고 기운이 없음. 배뇨곤란 증상이 있는게 아니라 아예 소변을 보려고 하지 않으며 화장실에도 소변을 본 흔적이 없음 약물은 항생제와 신경안정제를 처방 받으심 추가접종은 해주지 않으심 동거묘는 없음. 기침증상 없었음 혈액검사상 특이소견없음 방사선상 폐전반적인 bronchial pattern right mid lobe의 lobar sign 심초에서 cardiomyopathy 의심되지 않으며 생리적 수준의 tr pr 이 관찰 복초에서 방광의 염증성 sludge 외에 특이소견없음 미약한 탈수소견외에 특이소견없으며 기력저하의 원인이 분명하지 않음. 폐병변이 원인 가능성이 있으나 기왕력을 알수 없어 현증의 원인으로 단정하기 어려움. 익일까지 수액처치하면서 탈수교정 후 퇴원예정 성격이 예민하로 익일 담당의 출근하여 진정후 퇴원진행예정 방광염 재발로 인한 통증이 원인일 가능성이 높음 tx taurine 옴니프랄 cepha 하트만 b.com vitc ,2020,"8,902", 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"혈뇨,핍뇨/무뇨",혈뇨,598,2
spitz(스피츠),FS,2116,D_VIP, money 수납 김승희 식욕 활력 양호 배변 배뇨 양호 금식진행완료 physical examination mental alert hr rr panting aus no murmur bcs mmc pink crt sec 탈수평가 nrf 유선종양 좌측 번 time time 좌측 번 cmcm 전반적인 유선부종 및 유즙 삼출물 소량보이며 이전보다 감소 치아전반적으로 중증도의 치석 및 치은염 laboratory examination cbc nrf elec mild hypernatremia gas nrf chem increased bun decreased globulin coag nrf cancer detecting kit ani scan high radiographic examination nrf 정확한 전이평가를 위해선 ct가 기지시됨 애니스캔상 악성 종양의 가능성 크게 나왔으나 확진은 조직검사로 가능하기 때문에 기다려보기로 마취시 구강평가상 심한 치주염 치은염 치석으로 빠른시일내에 치과치료 필요하며 유선종양 치료 종료후 치과치료 진행 안내 sx anesthesia premedication cefazolin time kg iv midazolam time kg iv fentanyl money mg kg iv induction propofol time kg iv maintenance isoflurane surgical procedure abdominal midline incision from umbilicus to pubis ovarian vessel liagation maxon and transected liga sure uterine vessel liagation and transected ligasure and time blade left time ammary gland surgical margin made cm from the mass bovie udermining mammary gland and skin tissue from the abdomen external pudendal a. v. ligation and trasected liga sure near the inguinal canal subcutaneous closure maxon skin closure blue nylon surgical findings elongated soft palate uterine complex hydro pyo metra splenomegaly sever dental calculus and gingivitis comments 술후 항생제 치료 비용 money 내로 진행 month 입원관리 진행 ,"치주염, 치은염",221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",1294,3
K.C(Korean Cat),MN,2095,D_VIP,s month 전부터 배뇨 곤란 조금전 다른 동물병원에서 가서 방사선 초음파검사했고 어떻게 해야할지 확실하게 말을 해주지 않아서 오셨다함 year 전에도 한번 이런적이 있어서 치료받았었다 함 한달전부터 약간 배뇨하는것이 불편해보여 사료에 물을타서 급여했다가 month 전에 괜찮겠거니하고 주지 않았는데 바로 배뇨곤란 옴 식욕활력 양호하고 구토설사 없음 aus nrf bt 혈액검사 wbc money 으로 염증수치 상승 소변검사 rbc wbc . 침사결과 cocci rod 확인됨 초음파 검사상 방광 내벽 두께 time 는 정상이나 방광 내 다량의 미세결석 및 슬러지들 확인됨. 중간에 계속 요도카테터 plug 막힘. tx cefa metro famo iv bid 방광 flushing ns fold 현재 방광 내 다량의 슬러지 확인되며 검사상 세균들도 확인되어 day 에 요도카테터 제거후 정상뇨보면 day 쯤 퇴원 말씀드림. ,,901, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"배뇨장애(통증, 곤란), 빈뇨, 이소배뇨","배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",463,2
K.C(Korean Cat),MN,2170,D_VIP, forl 병변으로 발치 진행. 나머지 손만대도 출혈이 있던 부분은 lpgs가 아닌 치주염때문인걸로 판단됩니다. 따라서 오늘 발치는 흡수성 병변 있는 치아만 진행하였고 치주염에 대한 치료 실시. 집에서 일주일 후 잇몸보고 발적이 보이면 day 날 내원하시고 그렇지 않다면 month 후 재진 예정 정기치과검진 병변이 진행될것이 우려되어 미리 발치를 하는것은 좋은 선택이 아니라고 설명드렸습니다. ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,221,6
Maltese(말티즈),FS,2170,D_VIP,스켈링 진행 이빨이 흔들리는 곳은 없었지만 앞니부분의 잇몸이 많이 약해져있어서 출혈이 있습니다. 치아관리 잘해주세요 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,65,6
spitz(스피츠),F               ,2185,D_VIP, money 결제하심 그림 금식 확인. 파행은 계속 된다고 하심. 이주영 아이디로 내린 fentanyl time amp처방하지 못함. 서원장님이 fentanyl time amp 다시 오더내려서 처방함 ,,23, 슬개골 (아) 탈구 ,근육 골격 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",112,7
Poodles(푸들),FS              ,2092,E_24시아이, 어제부터 구토증상 혈변증상보임 보호자분이 지방에 계시고 부모님이 키우는 강아지인데 사람먹는 음식을 이것저것 줌 한달만에 집에오니 체중 많이 감소 잘 안먹고 활동성 떨어짐 month 전 생리함 곰곰히 생각해보니 소변 자주 볼려는 자세를 취했었었다고 결석있는 사진보고서 보호자 연급 pe 젖 돌음 쿠싱틱함 치석심함 식욕 활기 백신 사상충 방광결석수술 불임수술 cpl kit neg crp hw neg 졸레틸 time us 담낭 점액종 방광내결석 p 박비용 실제 박입원 month time 까지 입원조치 차후 내 과적으로 방광염 결석예방 팔로우 내분비계 검사 필요 담낭 뮤코실에 대한 관리 . ,,"1,2", 방광 결석 , 비뇨기과 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),330,1
Maltese(말티즈),F               ,2275,G_부천이지,시흥 청안 동물병원에서 의뢰 내원 당시 상태 mental depression 심박수 회 분 호흡수 회 체온 도 혈압 심음 폐음 양호 plr 정상 하복부 피부 출혈 보행 장애 상담 전신적인 검사 진행후 상태에 따라 치료 예정 실질 장기의 손상시 사망 가능성 있음 특별한 문제 확인 안될경우 month 정도 지속적인 검사 예정 상당한 비용 예상 검사 방사선 흉부 nrf 복부 nrf 골격계 right rumus of pubic bone 골절 확인 초음파 담관 확장 양측 신장 결석 혈액 검사 cpk 상승 상담 우측 치골 골절외 특이 소견 없음 time 정도 지속적인 관찰과 검사 필요 보호자분 집에서 관리 한다고 함 보호자 요청에 의해 퇴원 조치함 처치 진통제 주사 내복약 처방 ,"골절, 2088","77,74", 사고 (교통 사고 포함) ,전신성의 질환,"골절,쇼크, 저혈당쇼크",골절,378,8
Yorkshire Terrier(요크셔 테리어),FS              ,2170,G_부천이지,내일 카드취소후 재결제 하실 예정 신용카드로 결제해야하는데 체크카드를 가지고 오심 신한카드 총금액 money 비과세 money 일시불 치아상태 좋지 않아 내원 year 전에 혈액검사 이상없음 흉부방사선 검사 year 전 방사선 검사와 비교시 심장 크기 비슷해보임. 폐 실질 특이소견 없음. 위축 전방으로 변위되어 미약한 소간증 의심. 복부초음파 검사 양측 신장 수질내 결석들 관찰. 형태적 이상 관찰되지 않음. 췌장 실질 전반적으로 균질하게 에코 증가하여 만성 췌장염 가능성 또는 노령성 변화. 그 외 복부 장기 특이소견 없음. tx 잔존 치아 개 모두 발치함 e 이후 콧물 증상 있는지 여부 확인 구토 식욕부진 발열 등이 있느지 여부 확인 필요 상악 발치로 인해 하루 이틀정도 혈액성 분비물이 코에서 나올 수있음 신장결석 관리 필요 물급여 사료교체 ,2088,6102, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,치주염,치주염,420,6
Scottich Fold Cat(스코티쉬 폴더 고양이),MN              ,2095,F_센트럴,sono 방광내 슬러지 다량 방광벽 비후 요도 폐색은 없음 레이저치료 진행 소변양이 적고 항생제를 미리 사용하여 요검사는 진행 못함 퇴원하여 경과관찰 재진예정 ,,"1,42", 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"구토(급성/만성),혈변",구토(급성/만성),89,2
Pomeranian(포메라이안),F               ,2275,F_센트럴,cc 사경 안구진탕 바닥으로 던져짐.가슴높이에서. 병원도착까지 time 소요.바닥에 떵어진 뒤 숨을 잘 못쉼. 인근 병원에 일산 가서 응급처치받고 방사선 촬영뒤 안정취해야 하며 수시간이 고비라는 말듣고 귀가.귀가후 사경과 한쪽으로 몸을 뒤집기 증상보여 내원. 내원시.사경 안구진탕 유연 서맥 .plr 은 정상 방사선.폐반사도 증가 혈검.gpt got 상승 p 산소공급 알파k sc 추가검사 가능성 설명.흉부방사선 초음파 mri 등 보호자 time 내원 하기로 함. lactate ,,"40,0", 사고 (교통 사고 포함) ,전신성의 질환,"신경증상(이상행동),기타 증상",신경증상(이상행동),268,8
Maltese(말티즈),MN,2170,C_잠실ON, cc 스케일링 술전검사 설명드렸고 스케일링은 오후 time 경 들어갈예정 귀 더러웠음 스케일링 시 귀청소함 일주일 뒤 잇몸상태 check 시 귀상태 같이 체크 폴리싱과 구강 소독은 서비스로 해드림 치석 심각한 편이라 구강소독과 내복약 일주일치 처방합니다 다음번 스케일링 시에는 꼭 치과 엑스레이 찍으시기로 함. ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,175,6
Dachshunds(닥스훈트 ),FS,2133,A_라라,최근 병원을 다닌적은 없음. 식사 잘하고 다른 컨디션은 양호 어머니 통화 month 전부터 계속 아픔. 식사 하지 않음. 계속 물만 먹음. 이전 식욕은 왕성했음. 서울대에서 year 전 디스크 수술후 잘 걷지 못함 따님 설명 지난 주말까지 식욕 왕성 다른 변화 없었음. 컨디션 안좋다고 오늘 연락 받음. 주요 문제 디스크에 의한 통증 신경 증상 담석에의한 복통 현재는 디스크에 의한 통증 치료 먼저 진행하고 담석 제거가 필요한지는 추후 결정해야 함 month 간 입원 치료해야 한다고 안내함 보호자님 저녁에 내원하시도록 안내 ,"2079.0,2290.0",4,,,통증,통증,294,5
Mixed(혼합),F,2275,B_W,용산 라온에서 온 상황. 오늘 아침에 구조된 유기묘의 상황 가볍게 생각하고 구조함 전신의 상태가 위험한 상황에 골절이 심하게 있는 상황 전체적인 견적 money 이상 보고 시작해야 하는 상황 전신의 상태가 나쁜상황에서 처치중에 사망할 수 있는 상황 설명 동의 구함 day 까지 전신처치하면서 상태 볼것. 내일 대략적인 소견서 보호자님 드리기로 함. 검사 상태 염증수치 상승 황달 진행 금식상태가 며칠 지난것으로 추정 저알부민 혈증 전해질 불균형 우측 뒷다리 괴사된 상태 다리 절단수술이 필요한 상황 좌우측 앞다리 상완골 원위부 골절상태 ,2075,, 사고 (교통 사고 포함) ,전신성의 질환,,,300,8
